origin_fips,dest_fips,n_returns,year_start,origin_abbr,dest_abbr
01,01,1581562,2012,AL,AL
01,13,9517,2012,AL,GA
01,12,7254,2012,AL,FL
01,48,4536,2012,AL,TX
01,47,4140,2012,AL,TN
01,28,2648,2012,AL,MS
01,37,1815,2012,AL,NC
01,06,1784,2012,AL,CA
01,22,1508,2012,AL,LA
01,51,1320,2012,AL,VA
01,45,1033,2012,AL,SC
01,39,951,2012,AL,OH
01,36,945,2012,AL,NY
01,08,893,2012,AL,CO
01,26,837,2012,AL,MI
01,17,802,2012,AL,IL
01,21,740,2012,AL,KY
01,29,648,2012,AL,MO
01,18,645,2012,AL,IN
01,53,624,2012,AL,WA
01,42,569,2012,AL,PA
01,24,544,2012,AL,MD
01,04,544,2012,AL,AZ
01,40,486,2012,AL,OK
01,05,462,2012,AL,AR
01,20,407,2012,AL,KS
01,34,285,2012,AL,NJ
01,55,276,2012,AL,WI
01,15,276,2012,AL,HI
01,32,273,2012,AL,NV
01,25,262,2012,AL,MA
01,27,241,2012,AL,MN
01,02,211,2012,AL,AK
01,19,201,2012,AL,IA
01,35,190,2012,AL,NM
01,41,182,2012,AL,OR
01,49,157,2012,AL,UT
01,09,146,2012,AL,CT
01,54,142,2012,AL,WV
01,31,138,2012,AL,NE
01,11,129,2012,AL,DC
01,30,109,2012,AL,MT
01,56,105,2012,AL,WY
01,16,89,2012,AL,ID
01,38,79,2012,AL,ND
01,33,78,2012,AL,NH
01,46,77,2012,AL,SD
01,23,75,2012,AL,ME
01,10,61,2012,AL,DE
01,44,49,2012,AL,RI
01,50,33,2012,AL,VT
02,02,257450,2012,AK,AK
02,53,2234,2012,AK,WA
02,48,1829,2012,AK,TX
02,06,1724,2012,AK,CA
02,12,1361,2012,AK,FL
02,41,1115,2012,AK,OR
02,04,927,2012,AK,AZ
02,08,779,2012,AK,CO
02,13,570,2012,AK,GA
02,32,558,2012,AK,NV
02,16,548,2012,AK,ID
02,37,540,2012,AK,NC
02,51,471,2012,AK,VA
02,15,470,2012,AK,HI
02,30,401,2012,AK,MT
02,36,383,2012,AK,NY
02,27,368,2012,AK,MN
02,26,363,2012,AK,MI
02,47,346,2012,AK,TN
02,49,343,2012,AK,UT
02,29,320,2012,AK,MO
02,39,279,2012,AK,OH
02,40,277,2012,AK,OK
02,17,259,2012,AK,IL
02,55,255,2012,AK,WI
02,35,255,2012,AK,NM
02,01,247,2012,AK,AL
02,42,246,2012,AK,PA
02,45,243,2012,AK,SC
02,20,198,2012,AK,KS
02,22,195,2012,AK,LA
02,24,191,2012,AK,MD
02,56,170,2012,AK,WY
02,38,169,2012,AK,ND
02,21,167,2012,AK,KY
02,25,156,2012,AK,MA
02,05,153,2012,AK,AR
02,18,141,2012,AK,IN
02,34,124,2012,AK,NJ
02,46,117,2012,AK,SD
02,28,116,2012,AK,MS
02,19,104,2012,AK,IA
02,31,101,2012,AK,NE
02,23,81,2012,AK,ME
02,09,69,2012,AK,CT
02,33,68,2012,AK,NH
02,54,52,2012,AK,WV
02,50,48,2012,AK,VT
02,11,31,2012,AK,DC
02,10,29,2012,AK,DE
02,44,24,2012,AK,RI
04,04,2137465,2012,AZ,AZ
04,06,17967,2012,AZ,CA
04,48,8427,2012,AZ,TX
04,08,5049,2012,AZ,CO
04,53,4736,2012,AZ,WA
04,12,4317,2012,AZ,FL
04,32,3475,2012,AZ,NV
04,35,3321,2012,AZ,NM
04,17,2963,2012,AZ,IL
04,41,2936,2012,AZ,OR
04,49,2388,2012,AZ,UT
04,26,2239,2012,AZ,MI
04,36,2208,2012,AZ,NY
04,39,1918,2012,AZ,OH
04,37,1781,2012,AZ,NC
04,13,1706,2012,AZ,GA
04,27,1702,2012,AZ,MN
04,51,1622,2012,AZ,VA
04,42,1531,2012,AZ,PA
04,29,1426,2012,AZ,MO
04,55,1413,2012,AZ,WI
04,16,1228,2012,AZ,ID
04,18,1193,2012,AZ,IN
04,47,1156,2012,AZ,TN
04,40,1101,2012,AZ,OK
04,19,982,2012,AZ,IA
04,20,909,2012,AZ,KS
04,25,865,2012,AZ,MA
04,15,839,2012,AZ,HI
04,24,809,2012,AZ,MD
04,30,789,2012,AZ,MT
04,34,779,2012,AZ,NJ
04,45,720,2012,AZ,SC
04,31,683,2012,AZ,NE
04,02,609,2012,AZ,AK
04,21,602,2012,AZ,KY
