year,state_fips,state_abbr,employment,avg_weekly_wage
2012,01,AL,1828248,808
2013,01,AL,1845086,813
2014,01,AL,1863561,832
2015,01,AL,1890340,851
2016,01,AL,1915306,862
2017,01,AL,1936819,885
2018,01,AL,1961625,912
2019,01,AL,1989555,939
2020,01,AL,1909145,1004
2021,01,AL,1965189,1045
2022,01,AL,2026102,1102
2023,01,AL,2075785,1150
2024,01,AL,2105674,1193
2012,02,AK,327378,973
2013,02,AK,328716,992
2014,02,AK,330105,1027
2015,02,AK,331681,1053
2016,02,AK,326295,1031
2017,02,AK,322136,1033
2018,02,AK,321078,1071
2019,02,AK,323695,1106
2020,02,AK,297429,1187
2021,02,AK,305145,1205
2022,02,AK,313959,1256
2023,02,AK,322800,1323
2024,02,AK,329164,1382
2012,04,AZ,2431788,877
2013,04,AZ,2488009,883
2014,04,AZ,2539253,902
2015,04,AZ,2609770,922
2016,04,AZ,2680065,933
2017,04,AZ,2747638,964
2018,04,AZ,2826095,997
2019,04,AZ,2908826,1035
2020,04,AZ,2823760,1124
2021,04,AZ,2935150,1187
2022,04,AZ,3075427,1245
2023,04,AZ,3164081,1292
2024,04,AZ,3222450,1354
2012,05,AR,1146811,735
2013,05,AR,1146274,749
2014,05,AR,1157630,769
2015,05,AR,1177884,786
2016,05,AR,1191763,799
2017,05,AR,1200542,826
2018,05,AR,1211021,845
2019,05,AR,1218106,874
2020,05,AR,1174632,936
2021,05,AR,1203304,991
2022,05,AR,1248972,1039
2023,05,AR,1278470,1071
2024,05,AR,1295577,1123
2012,06,CA,14959808,1092
2013,06,CA,15378962,1098
2014,06,CA,15809082,1135
2015,06,CA,16295204,1187
2016,06,CA,16718647,1211
2017,06,CA,17019702,1266
2018,06,CA,17355855,1317
2019,06,CA,17631489,1372
2020,06,CA,16378059,1528
2021,06,CA,16974870,1649
2022,06,CA,17903539,1624
2023,06,CA,18002893,1682
2024,06,CA,18183696,1772
2012,08,CO,2266503,972
2013,08,CO,2335803,978
2014,08,CO,2417735,1014
2015,08,CO,2494450,1042
2016,08,CO,2552503,1051
2017,08,CO,2609770,1095
2018,08,CO,2674030,1133
