year,state_fips,state_abbr,employment,avg_weekly_wage,high_exposure,w_hat,post,shock
2012,01,AL,1828248,808,0,,0,0
2013,01,AL,1845086,813,0,1.006188118811881,0,0
2014,01,AL,1863561,832,0,1.023370233702337,0,0
2015,01,AL,1890340,851,0,1.0228365384615385,0,0
2016,01,AL,1915306,862,0,1.0129259694477086,0,0
2017,01,AL,1936819,885,0,1.0266821345707657,1,0
2018,01,AL,1961625,912,0,1.0305084745762711,1,0
2019,01,AL,1989555,939,0,1.0296052631578947,1,0
2020,01,AL,1909145,1004,0,1.0692225772097976,1,0
2021,01,AL,1965189,1045,0,1.0408366533864541,1,0
2022,01,AL,2026102,1102,0,1.0545454545454545,1,0
2023,01,AL,2075785,1150,0,1.043557168784029,1,0
2024,01,AL,2105674,1193,0,1.037391304347826,1,0
2012,02,AK,327378,973,0,,0,0
2013,02,AK,328716,992,0,1.0195272353545735,0,0
2014,02,AK,330105,1027,0,1.0352822580645162,0,0
2015,02,AK,331681,1053,0,1.0253164556962024,0,0
2016,02,AK,326295,1031,0,0.9791073124406457,0,0
2017,02,AK,322136,1033,0,1.0019398642095054,1,0
2018,02,AK,321078,1071,0,1.036786060019361,1,0
2019,02,AK,323695,1106,0,1.0326797385620916,1,0
2020,02,AK,297429,1187,0,1.073236889692586,1,0
2021,02,AK,305145,1205,0,1.0151642796967144,1,0
2022,02,AK,313959,1256,0,1.0423236514522822,1,0
2023,02,AK,322800,1323,0,1.053343949044586,1,0
2024,02,AK,329164,1382,0,1.0445956160241874,1,0
2012,04,AZ,2431788,877,1,,0,0
2013,04,AZ,2488009,883,1,1.0068415051311288,0,0
2014,04,AZ,2539253,902,1,1.0215175537938845,0,0
2015,04,AZ,2609770,922,1,1.0221729490022173,0,0
2016,04,AZ,2680065,933,1,1.0119305856832972,0,0
2017,04,AZ,2747638,964,1,1.0332261521972133,1,1
2018,04,AZ,2826095,997,1,1.0342323651452283,1,1
2019,04,AZ,2908826,1035,1,1.0381143430290873,1,1
2020,04,AZ,2823760,1124,1,1.0859903381642513,1,1
2021,04,AZ,2935150,1187,1,1.0560498220640568,1,1
2022,04,AZ,3075427,1245,1,1.0488626790227464,1,1
2023,04,AZ,3164081,1292,1,1.0377510040160642,1,1
2024,04,AZ,3222450,1354,1,1.0479876160990713,1,1
2012,05,AR,1146811,735,0,,0,0
2013,05,AR,1146274,749,0,1.019047619047619,0,0
2014,05,AR,1157630,769,0,1.026702269692924,0,0
2015,05,AR,1177884,786,0,1.0221066319895968,0,0
2016,05,AR,1191763,799,0,1.0165394402035624,0,0
2017,05,AR,1200542,826,0,1.0337922403003754,1,0
2018,05,AR,1211021,845,0,1.023002421307506,1,0
2019,05,AR,1218106,874,0,1.034319526627219,1,0
2020,05,AR,1174632,936,0,1.070938215102975,1,0
2021,05,AR,1203304,991,0,1.0587606837606838,1,0
2022,05,AR,1248972,1039,0,1.0484359233097882,1,0
2023,05,AR,1278470,1071,0,1.030798845043311,1,0
2024,05,AR,1295577,1123,0,1.0485527544351074,1,0
2012,06,CA,14959808,1092,1,,0,0
2013,06,CA,15378962,1098,1,1.0054945054945055,0,0
2014,06,CA,15809082,1135,1,1.0336976320582878,0,0
2015,06,CA,16295204,1187,1,1.0458149779735684,0,0
2016,06,CA,16718647,1211,1,1.0202190395956192,0,0
2017,06,CA,17019702,1266,1,1.0454170107349299,1,1
2018,06,CA,17355855,1317,1,1.0402843601895735,1,1
2019,06,CA,17631489,1372,1,1.0417615793470008,1,1
2020,06,CA,16378059,1528,1,1.1137026239067056,1,1
2021,06,CA,16974870,1649,1,1.0791884816753927,1,1
2022,06,CA,17903539,1624,1,0.9848392965433597,1,1
2023,06,CA,18002893,1682,1,1.0357142857142858,1,1
2024,06,CA,18183696,1772,1,1.0535077288941737,1,1
2012,08,CO,2266503,972,0,,0,0
2013,08,CO,2335803,978,0,1.0061728395061729,0,0
2014,08,CO,2417735,1014,0,1.0368098159509203,0,0
2015,08,CO,2494450,1042,0,1.0276134122287968,0,0
2016,08,CO,2552503,1051,0,1.0086372360844529,0,0
2017,08,CO,2609770,1095,0,1.0418648905803995,1,0
2018,08,CO,2674030,1133,0,1.034703196347032,1,0
2019,08,CO,2736105,1189,0,1.0494263018534864,1,0
2020,08,CO,2602371,1282,0,1.0782169890664424,1,0
2021,08,CO,2699891,1357,0,1.0585023400936038,1,0
2022,08,CO,2814975,1431,0,1.0545320560058953,1,0
2023,08,CO,2882674,1483,0,1.0363382250174702,1,0
2024,08,CO,2897901,1544,0,1.0411328388401888,1,0
2012,09,CT,1627748,1194,0,,0,0
2013,09,CT,1640333,1199,0,1.0041876046901173,0,0
